epoch,step,train_loss
4,4,0.04692019522190094
9,9,0.023967059329152107
14,14,0.017971357330679893
19,19,0.0151166757568717
24,24,0.012553694657981396
29,29,0.010977460071444511
34,34,0.009557987563312054
39,39,0.00863832887262106
44,44,0.007679319009184837
49,49,0.006954337935894728
54,54,0.006321604363620281
59,59,0.005707140546292067
64,64,0.005148597061634064
69,69,0.004760670475661755
74,74,0.004481166135519743
79,79,0.004139740485697985
84,84,0.0038923025131225586
89,89,0.0035544722341001034
94,94,0.0033998244907706976
99,99,0.0030823410488665104
